Country,City,Lifestyle_Level,Rent_Type,Monthly_Rent,Monthly_Utilities,Monthly_Transport,Monthly_Groceries,Monthly_School_Fees,Monthly_Dining,Monthly_Healthcare,Monthly_Misc,Total_Monthly_Cost,Currency,Source,Last_Verified,Estimation_Flag,Notes
Australia,Brisbane,Basic,Shared Accommodation,850,100,166,300,0,100,0,100,1616,AUD,"Numbeo Brisbane (Feb 2026); Flatmates.com.au Brisbane; TransLink Go Card; Brisbane City Council rates 2025-26",2026-02-18,N,"Rent=Flatmates.com.au Brisbane median $800-$900/wk for room in shared house (incl bills varies). Utilities=personal share (often partially included in shared rent; estimate for top-up/personal usage). Transport=TransLink Go Card monthly pass (2 zones) $166. Groceries=Aldi/Coles home brand budget. Dining=2-4 casual meals. Healthcare=$0 Medicare. School fees=$0."
Australia,Brisbane,Basic,1BHK,2000,350,166,300,0,100,0,100,3016,AUD,"Numbeo Brisbane (Feb 2026); Domain.com.au; Realestate.com.au Brisbane; TransLink Go Card; Brisbane City Council rates",2026-02-18,N,"Rent=Numbeo Brisbane city-centre 1-bed ~$2,000 (Domain median $1,800-$2,200). Utilities=electricity $120 + gas $40 + water $30 + council rates ~$95/mo (quarterly ~$285÷3) + internet $65 = $350. Transport=Go Card 2-zone monthly."
Australia,Brisbane,Basic,Family (2-3 BHK),3200,450,166,300,0,100,0,100,4316,AUD,"Numbeo Brisbane (Feb 2026); Domain.com.au Brisbane 3-bed; TransLink Go Card",2026-02-18,Y,"Rent=Domain/Realestate.com.au Brisbane 2-3 bed median $3,000-$3,400. Utilities higher for larger dwelling (higher council rates band + electricity). School fees NOT included — private school adds $1,500-$3,500/month; state school = $0."
Australia,Brisbane,Moderate,Shared Accommodation,850,100,210,400,0,200,0,200,1960,AUD,"Numbeo Brisbane (Feb 2026); Flatmates.com.au; TransLink Go Card",2026-02-18,N,"Rent=same shared room (lifestyle affects spending not accommodation type). Transport=Go Card $166 + occasional Uber $44/month. Groceries=standard Coles/Woolworths. Dining=6-8 meals/month. Misc=phone $50 + streaming $25 + gym $60 + personal $65."
Australia,Brisbane,Moderate,1BHK,2000,350,210,400,0,200,0,200,3360,AUD,"Numbeo Brisbane (Feb 2026); Domain.com.au; TransLink Go Card",2026-02-18,N,"Most common scenario for single settled doctor in Brisbane. Good value compared to Sydney/Melbourne."
Australia,Brisbane,Moderate,Family (2-3 BHK),3200,450,210,400,0,200,0,200,4660,AUD,"Numbeo Brisbane (Feb 2026); Domain.com.au; TransLink Go Card",2026-02-18,Y,"Family home in Brisbane suburb (e.g. Toowong, Indooroopilly, Chermside). School fees NOT included."
Australia,Brisbane,Premium,Shared Accommodation,850,100,500,550,0,400,175,450,3025,AUD,"Numbeo Brisbane (Feb 2026); Flatmates.com.au; Bupa/Medibank 2026",2026-02-18,Y,"Unusual combination (Premium lifestyle with shared accommodation). Transport=Go Card + car (rego $70/mo + insurance $120/mo + fuel $150/mo + parking $60/mo ≈ $400 + Go Card $100 top-up). Healthcare=Bupa basic hospital + extras single ~$175/month. Misc=premium phone $80 + multiple streaming $50 + premium gym $80 + clothing/leisure $240."
Australia,Brisbane,Premium,1BHK,2000,350,500,550,0,400,175,450,4425,AUD,"Numbeo Brisbane (Feb 2026); Domain.com.au; Bupa/Medibank 2026",2026-02-18,N,"Premium lifestyle in Brisbane 1-bed city apartment. Transport includes car ownership. Healthcare=Bupa/Medibank basic hospital + extras ~$175/month."
Australia,Brisbane,Premium,Family (2-3 BHK),3200,450,500,550,0,400,175,450,5725,AUD,"Numbeo Brisbane (Feb 2026); Domain.com.au; Bupa/Medibank 2026",2026-02-18,N,"Premium family lifestyle in Brisbane. School fees NOT included — private school adds $1,500-$3,500/month. Brisbane is Australia's fastest-growing city; rents rising 5-8% annually."
Australia,Perth,Basic,Shared Accommodation,800,95,159,290,0,100,0,100,1544,AUD,"Numbeo Perth (Feb 2026); Flatmates.com.au Perth; Transperth SmartRider; City of Perth rates 2025-26",2026-02-18,N,"Rent=Flatmates.com.au Perth median $750-$850 for room in shared house. Utilities=personal share $95. Transport=Transperth SmartRider 2-zone monthly (28-day) pass $159. Groceries=Aldi/Coles home brand. Healthcare=$0 Medicare."
