Country,City,Lifestyle_Level,Rent_Type,Monthly_Rent,Monthly_Utilities,Monthly_Transport,Monthly_Groceries,Monthly_School_Fees,Monthly_Dining,Monthly_Healthcare,Monthly_Misc,Total_Monthly_Cost,Currency,Source,Source_URLs,Last_Verified,Estimation_Flag,Notes
Canada,Montreal,Basic,Shared Accommodation,750,80,105,300,0,80,0,100,1415,CAD,"Numbeo Montreal (Feb 2026); Kijiji/Roomies.ca Montreal; STM monthly pass; Hydro-Quebec 2025-26 rates","https://www.numbeo.com/cost-of-living/in/Montreal; https://www.kijiji.ca/; https://www.stm.info/en; https://www.hydroquebec.com/",2026-02-18,N,"Rent=Kijiji/Roomies.ca Montreal shared room median $700-$800/mo (often includes some utilities). Utilities=personal share $80 (hydro top-up + phone SIM $25). Transport=STM monthly pass $94. Groceries=Maxi/Super C/No Frills budget. Dining=2-4 casual meals. Healthcare=$0 RAMQ covers GP + hospital. School fees=$0. Montreal is the most affordable major city in Quebec. French proficiency helps with daily life and job opportunities."
Canada,Montreal,Basic,1BHK,1750,225,105,300,0,80,0,100,2560,CAD,"Numbeo Montreal (Feb 2026); Rentals.ca; Realtor.ca Montreal; STM monthly pass; Hydro-Quebec rates","https://www.numbeo.com/cost-of-living/in/Montreal; https://rentals.ca/; https://www.realtor.ca/; https://www.stm.info/en; https://www.hydroquebec.com/",2026-02-18,N,"Rent=Numbeo Montreal city-centre 1-bed ~$1,500 (Rentals.ca median $1,400-$1,700). Utilities=Hydro-Quebec electricity+heating $110 + water $0 (included in municipal taxes) + internet $65 + phone SIM $50 = $225. Transport=STM monthly pass $94. Montreal rents significantly lower than Toronto/Vancouver."
Canada,Montreal,Basic,Family (2-3 BHK),2200,300,105,300,0,80,0,100,3085,CAD,"Numbeo Montreal (Feb 2026); Rentals.ca Montreal 2-3 bed; STM monthly pass","https://www.numbeo.com/cost-of-living/in/Montreal; https://rentals.ca/; https://www.stm.info/en",2026-02-18,Y,"Rent=Rentals.ca/Realtor.ca Montreal 2-3 bed median $2,000-$2,400. Utilities higher for larger dwelling (higher Hydro-Quebec consumption + internet $65 + phone $50). School fees NOT included — private school adds $500-$1,500/month; public school = $0. Quebec has subsidized daycare ($8.70/day) which is a major advantage for families."
Canada,Montreal,Moderate,Shared Accommodation,750,80,141,400,0,180,0,200,1751,CAD,"Numbeo Montreal (Feb 2026); Kijiji/Roomies.ca; STM monthly pass","https://www.numbeo.com/cost-of-living/in/Montreal; https://www.kijiji.ca/; https://www.stm.info/en",2026-02-18,N,"Rent=same shared room (lifestyle affects spending not accommodation type). Transport=STM $94 + occasional Uber $36/month. Groceries=standard IGA/Metro mid-range. Dining=6-8 meals/month including Montreal's excellent restaurant scene. Misc=phone contract $55 + streaming $25 + gym $50 + personal $70."
Canada,Montreal,Moderate,1BHK,1750,225,141,400,0,180,0,200,2896,CAD,"Numbeo Montreal (Feb 2026); Rentals.ca; STM monthly pass","https://www.numbeo.com/cost-of-living/in/Montreal; https://rentals.ca/; https://www.stm.info/en",2026-02-18,N,"Most common scenario for single settled doctor in Montreal. Good value — significantly cheaper than Toronto/Vancouver. Montreal offers bilingual hospital environment (McGill Health Centre, CHUM). STM + occasional Uber."
Canada,Montreal,Moderate,Family (2-3 BHK),2200,300,141,400,0,180,0,200,3421,CAD,"Numbeo Montreal (Feb 2026); Rentals.ca; STM monthly pass","https://www.numbeo.com/cost-of-living/in/Montreal; https://rentals.ca/; https://www.stm.info/en",2026-02-18,Y,"Family home in Montreal neighbourhood (e.g. NDG, Verdun, Rosemont, Cote-des-Neiges). School fees NOT included. Quebec subsidized daycare ($8.70/day) is a major cost advantage."
Canada,Montreal,Premium,Shared Accommodation,750,80,461,500,0,350,200,400,2741,CAD,"Numbeo Montreal (Feb 2026); Kijiji/Roomies.ca; Sun Life/Manulife supplementary health insurance 2026","https://www.numbeo.com/cost-of-living/in/Montreal; https://www.kijiji.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,Y,"Unusual combination (Premium lifestyle with shared accommodation). Transport=STM + car ownership (insurance $150/mo + fuel $120/mo + parking $60/mo + maintenance $26/mo = $356 + STM $94). Healthcare=Sun Life/Manulife supplementary health+dental plan ~$200/month (covers dental, vision, prescriptions, private room). Misc=premium phone $80 + streaming $40 + premium gym $70 + clothing/leisure $210."
Canada,Montreal,Premium,1BHK,1750,225,461,500,0,350,200,400,3886,CAD,"Numbeo Montreal (Feb 2026); Rentals.ca; Sun Life/Manulife supplementary health insurance 2026","https://www.numbeo.com/cost-of-living/in/Montreal; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/",2026-02-18,N,"Premium lifestyle in Montreal 1-bed city apartment. Transport includes car ownership. Healthcare=Sun Life/Manulife supplementary plan ~$200/month (dental, vision, prescriptions, private hospital room). Groceries=Provigo/IGA premium + specialty stores (Jean-Talon Market)."
Canada,Montreal,Premium,Family (2-3 BHK),2200,300,461,500,1200,350,200,400,5611,CAD,"Numbeo Montreal (Feb 2026); Rentals.ca; Sun Life/Manulife 2026; Fraser Institute school fee survey","https://www.numbeo.com/cost-of-living/in/Montreal; https://rentals.ca/; https://www.sunlife.ca/; https://www.manulife.ca/; https://www.fraserinstitute.org/",2026-02-18,Y,"Premium family lifestyle in Montreal. School fees=$1,200/month (private school range $800-$1,500/month in Montreal — lower than Ontario due to Quebec government subsidies for private schools covering ~60% of operating costs). Healthcare=family supplementary plan ~$200/month. Montreal offers best value among major Canadian cities for premium family living."
Canada,Ottawa,Basic,Shared Accommodation,850,85,125,310,0,80,0,100,1550,CAD,"Numbeo Ottawa (Feb 2026); Kijiji/Roomies.ca Ottawa; OC Transpo monthly pass; Ottawa Hydro rates 2025-26","https://www.numbeo.com/cost-of-living/in/Ottawa; https://www.kijiji.ca/; https://www.octranspo.com/en",2026-02-18,N,"Rent=Kijiji/Roomies.ca Ottawa shared room median $800-$900/mo. Utilities=personal share $85 (hydro/heat top-up + phone SIM $25). Transport=OC Transpo monthly pass $125 (Presto card). Groceries=No Frills/FreshCo budget. Dining=2-4 casual meals. Healthcare=$0 OHIP covers GP + hospital. Ottawa is the national capital — bilingual city with major hospitals (The Ottawa Hospital, CHEO)."
