Country,City,Lifestyle_Level,Rent_Type,Monthly_Rent,Monthly_Utilities,Monthly_Transport,Monthly_Groceries,Monthly_School_Fees,Monthly_Dining,Monthly_Healthcare,Monthly_Misc,Total_Monthly_Cost,Currency,Source,Last_Verified,Estimation_Flag,Notes
DE,Berlin,Basic,Shared Accommodation,600,50,49,250,0,80,0,100,1129,EUR,"Numbeo Berlin (Feb 2026); WG-Gesucht.de Berlin; BVG/Deutschlandticket; Destatis consumer basket 2025",2026-02-18,N,"Rent=WG-Gesucht Berlin WG-Zimmer median EUR 500-700 warm (Warmmiete incl. Nebenkosten). Utilities=internet EUR 30 + phone SIM EUR 15 + GEZ Rundfunkbeitrag EUR 18.36/3 persons = EUR 6 (rounded to EUR 50 total). Transport=Deutschlandticket EUR 49/month (nationwide public transport since May 2023). Groceries=Aldi/Lidl budget basket. Dining=2-4 casual meals (Doener EUR 5-7 + basic restaurants). Healthcare=EUR 0 GKV statutory health insurance (employee share deducted from salary as Sozialabgaben). School fees=EUR 0."
DE,Berlin,Basic,1BHK,1050,95,49,250,0,80,0,100,1624,EUR,"Numbeo Berlin (Feb 2026); ImmobilienScout24 Berlin 1-Zimmer/2-Zimmer; BVG/Deutschlandticket; Destatis",2026-02-18,N,"Rent=ImmobilienScout24/Numbeo Berlin city-centre 1-bed (2-Zimmer-Wohnung) EUR 900-1200 Warmmiete (Kaltmiete EUR 700-950 + Nebenkosten EUR 200-250). Utilities=internet EUR 35 + phone EUR 25 + GEZ EUR 18.36 + household insurance EUR 15 = EUR 95. Transport=Deutschlandticket EUR 49. Berlin rents rising but still well below Munich — Mietpreisbremse (rent brake) applies."
DE,Berlin,Basic,Family (2-3 BHK),1600,110,49,250,0,80,0,100,2189,EUR,"Numbeo Berlin (Feb 2026); ImmobilienScout24 Berlin 3-4 Zimmer; BVG/Deutschlandticket",2026-02-18,Y,"Rent=ImmobilienScout24 Berlin 3-4 Zimmer city/inner suburbs EUR 1400-1800 Warmmiete (Kaltmiete EUR 1100-1400 + Nebenkosten EUR 300-400). Utilities=internet EUR 40 + phone EUR 25 + GEZ EUR 18.36 + household insurance EUR 20 + misc EUR 7 = EUR 110. School fees NOT included in Basic — German public school (Grundschule/Gymnasium) is free. Private international school adds EUR 500-1500/month."
DE,Berlin,Moderate,Shared Accommodation,600,50,49,320,0,160,0,200,1379,EUR,"Numbeo Berlin (Feb 2026); WG-Gesucht.de; Deutschlandticket",2026-02-18,N,"Rent=same WG room (lifestyle affects spending not accommodation type). Transport=Deutschlandticket EUR 49 (no Uber top-up needed — Berlin has excellent U-Bahn/S-Bahn/bus/tram coverage). Groceries=Edeka/Rewe mid-range. Dining=6-8 meals/month including cafes (Kaffee und Kuchen tradition). Misc=phone EUR 30 + streaming EUR 20 + gym Urban Sports Club EUR 50 + clothing/personal EUR 100."
DE,Berlin,Moderate,1BHK,1050,95,49,320,0,160,0,200,1874,EUR,"Numbeo Berlin (Feb 2026); ImmobilienScout24; Deutschlandticket",2026-02-18,N,"Most common scenario for single settled doctor (Facharzt) in Berlin. Deutschlandticket only — Berlin has one of Europe's best public transport systems. Berlin is the most affordable German capital for professionals. Misc=phone EUR 30 + streaming EUR 20 + gym EUR 50 + clothing/personal EUR 100."
DE,Berlin,Moderate,Family (2-3 BHK),1600,110,49,320,0,160,0,200,2439,EUR,"Numbeo Berlin (Feb 2026); ImmobilienScout24; Deutschlandticket",2026-02-18,Y,"Family flat in Berlin neighbourhood (e.g. Prenzlauer Berg, Friedrichshain, Charlottenburg, Steglitz). School fees NOT included — state school free. After-school Hort (after-care) is subsidized in Berlin (income-dependent, often EUR 0-80/month)."
DE,Berlin,Premium,Shared Accommodation,600,50,350,420,0,320,40,400,2180,EUR,"Numbeo Berlin (Feb 2026); WG-Gesucht.de; ADAC car cost calculator 2025; DKV/Signal Iduna Zusatzversicherung",2026-02-18,Y,"Unusual combination (Premium lifestyle with shared accommodation) but valid if maximising savings. Transport=Deutschlandticket EUR 49 + car ownership (Haftpflicht+Teilkasko EUR 80/mo + fuel EUR 80/mo + parking EUR 60/mo + maintenance EUR 30/mo + Stellplatz EUR 50/mo = EUR 300) = EUR 350. Healthcare=Zusatzversicherung (supplementary private: dental Zahnzusatz + Chefarztbehandlung + Einbettzimmer) EUR 40/month via DKV/Signal Iduna. Misc=premium phone EUR 50 + streaming EUR 30 + premium gym EUR 80 + clothing/leisure EUR 240."
DE,Berlin,Premium,1BHK,1050,95,350,420,0,320,40,400,2675,EUR,"Numbeo Berlin (Feb 2026); ImmobilienScout24; ADAC; DKV/Signal Iduna Zusatzversicherung",2026-02-18,N,"Premium 1-bed in central Berlin (Mitte, Prenzlauer Berg, Charlottenburg). Transport=Deutschlandticket + car ownership ~EUR 300/month (ADAC estimates EUR 300-500/month total car costs in Berlin). Healthcare=Zusatzversicherung EUR 40/month (Zahnzusatz + Chefarzt + Einbettzimmer). Groceries=Bio-Markt (Alnatura/denn's) + Edeka premium."
DE,Berlin,Premium,Family (2-3 BHK),1600,110,350,420,800,320,40,400,4040,EUR,"Numbeo Berlin (Feb 2026); ImmobilienScout24; ADAC; DKV/Signal Iduna; Berlin International School fee schedule",2026-02-18,Y,"Premium family lifestyle in Berlin. School fees=EUR 800/month (Berlin International School/Berlin Metropolitan School range EUR 500-1200/month depending on age; Berlin Brandenburg International School EUR 800-1500/month). Healthcare=family Zusatzversicherung EUR 40/month. Transport includes car. Berlin offers excellent value for premium family living compared to Munich."
DE,Munich,Basic,Shared Accommodation,800,55,49,270,0,90,0,110,1374,EUR,"Numbeo Munich (Feb 2026); WG-Gesucht.de Munich; MVV/Deutschlandticket; Destatis consumer basket 2025",2026-02-18,N,"Rent=WG-Gesucht Munich WG-Zimmer median EUR 700-900 warm (Warmmiete). Munich is Germany's most expensive city for rent — WG rooms EUR 150-250 more than Berlin. Utilities=internet EUR 30 + phone EUR 15 + GEZ share EUR 6 + misc EUR 4 = EUR 55. Transport=Deutschlandticket EUR 49. Groceries slightly higher than Berlin due to overall higher price level. Healthcare=EUR 0 GKV."
